name,condition,conf_clear,conf_adverse,conf_drop_pct,ent_clear,ent_adverse,ent_rise,kl,mean_iou_adv,iou_adv_c0,iou_adv_c1,iou_adv_c2,iou_adv_c3,iou_adv_c4,iou_adv_c5,iou_adv_c6,iou_adv_c7,iou_adv_c8,iou_adv_c9,iou_adv_c10,iou_adv_c11,iou_adv_c12,iou_adv_c13,iou_adv_c14,iou_adv_c15,iou_adv_c16,iou_adv_c17,iou_adv_c18
GOPR0476_frame_000798,fog,0.9592902064323425,0.9491176605224609,0.01060424231961199,0.11505177617073059,0.14010067284107208,0.02504889667034149,3.3440558910369873,0.46568694710731506,0.9484508037567139,0.8674516081809998,0.15056103467941284,0.25223273038864136,0.00879333633929491,0.195835679769516,0.0,0.6586812138557434,0.6572965383529663,,0.9959242939949036,,,0.8667203187942505,0.0,0.9176697134971619,0.0,,
GOPR0476_frame_000854,fog,0.9343823194503784,0.9051558375358582,0.03127893260964368,0.17758817970752716,0.2460363209247589,0.06844814121723175,3.064945936203003,0.5307489037513733,0.9693459272384644,0.37301942706108093,0.7401854395866394,0.4968610107898712,0.0,0.2940336763858795,0.0,0.4580579698085785,0.7122251987457275,0.6398847103118896,0.8900309205055237,,,0.7953422665596008,,,,,
GOPR0476_frame_000921,fog,0.9496920108795166,0.9382983446121216,0.01199722227511532,0.13939908146858215,0.16537341475486755,0.0259743332862854,3.54508638381958,0.511371910572052,0.9264772534370422,0.8483080863952637,0.8268240094184875,0.0,0.0,0.48815393447875977,0.7605395913124084,0.4980659782886505,0.8523470759391785,0.07073955237865448,0.9757429361343384,0.0,,0.91200852394104,,,,,0.0
GOPR0476_frame_000884,fog,0.9662039875984192,0.9286981225013733,0.03881774986469717,0.09444504231214523,0.18922947347164154,0.09478443115949631,3.272146463394165,0.4863939881324768,0.9782841205596924,0.5288880467414856,0.7217661142349243,0.5585054159164429,0.0,0.04883116856217384,,0.3598310351371765,0.598624587059021,0.0,0.9339698553085327,0.6647230386734009,,0.9296987056732178,0.0,,,,
GOPR0476_frame_000840,fog,0.9388328194618225,0.9556730389595032,-0.01793739947007836,0.1678810864686966,0.12659433484077454,-0.04128675162792206,3.549750566482544,0.4386819303035736,0.9571079611778259,0.8738954663276672,0.6744718551635742,0.0,0.18310624361038208,0.010723860934376717,,0.0,0.9022246599197388,0.5267782807350159,0.9875001311302185,0.6857003569602966,0.0,0.778719425201416,0.0,,,,0.0
GOPR0476_frame_000982,fog,0.9518588185310364,0.9417975544929504,0.010570122098476579,0.13476109504699707,0.15547055006027222,0.020709455013275146,3.888394594192505,0.5098756551742554,0.9286952614784241,0.16357481479644775,0.7190820574760437,0.0,0.0,0.6570948362350464,0.8239951729774475,0.4864288866519928,0.842600405216217,0.2774631977081299,0.9793834686279297,0.963126003742218,,0.8066911101341248,0.0,,0.0,,
GOPR0476_frame_000864,fog,0.9551773071289062,0.9488277435302734,0.006647523433364682,0.12572477757930756,0.1476772576570511,0.02195248007774353,2.5466930866241455,0.5437111258506775,0.9827020168304443,0.8865090608596802,0.5831359028816223,0.3193851113319397,0.0,0.361784964799881,0.0,0.47516149282455444,0.9578632712364197,0.7386026382446289,0.9602972865104675,,,0.8028029799461365,,,,,0.0
GOPR0476_frame_000826,fog,0.9478387832641602,0.951507031917572,-0.0038701187158410952,0.14028489589691162,0.12997651100158691,-0.010308384895324707,3.645189046859741,0.4110313951969147,0.8060932159423828,0.6983175277709961,0.9493271112442017,0.0,0.0,0.31139063835144043,0.36047273874282837,0.3722587823867798,0.8087476491928101,0.0,0.9863587021827698,0.0,,0.8725049495697021,0.0,,,,0.0
GOPR0476_frame_001019,fog,0.9641132354736328,0.95550137758255,0.008932413211325688,0.09673235565423965,0.12526771426200867,0.028535358607769012,3.1031394004821777,0.4790579676628113,0.913892924785614,0.5899465084075928,0.8410152792930603,,0.0,0.0,0.2646048069000244,0.0,0.9319478869438171,0.7045837640762329,0.9821329116821289,,,0.9433800578117371,0.0,,,0.05624999850988388,
GOPR0476_frame_000850,fog,0.9478367567062378,0.9366406202316284,0.011812304468327702,0.1369154155254364,0.16544130444526672,0.028525888919830322,3.3787739276885986,0.5778942108154297,0.9765667915344238,0.9221894145011902,0.8125309944152832,0.012091097421944141,0.429537832736969,0.07366602122783661,,0.0,0.822066068649292,0.823383629322052,0.9627640247344971,,0.7356116771697998,0.8890511989593506,0.0,,,,0.6310609579086304
